id,,desc,,,id_id,desc2, p ,NA,a
13,,LIMÓN , $11.39 ,,4,"ES UN DETERGENTE DISEÑADO PARA EL LAVADO DE VAJILLAS Y UTENSILIOS DE COCINA, GRACIAS A LOS AGENTE QUÍMICOS CONTENIDOS EN SU FÓRMULA HACEN QUE ESTE DETERGENTE SE EFICAZ PARA EL LAVADO Y EVITE MALTRATAR LAS MANOS DE QUIEN LO USA, SU ESPUMA ES DE FÁCIL ENJUAGUE Y NO DEJA PERFUMADO LOS UTENSILIOS MÁS SIN EMBARGO PROPORCIONA UN AROMA AGRADABLE DURANTE EL LAVADO. ", $16 ,NA,NA
14,,MULTIUSOS LAVANDA , $3.55 ,,5,"ES UN AGENTE DE LIMPIEZA A BASE DE SURFACTANTES ESPECIALIZADOS PARA REMOVER TODO TIPO DE SUCIEDAD, DEJANDO UN FRESCO AROMA DURANTE Y DESPUÉS DE LA LIMPIEZA EN PISOS, PAREDES, VENTANAS, HOTELES, COCINAS, BAÑOS, HOSPITALES, ETC. DISPONIBLE EN AROMAS: LAVANDA, LIMA-LIMÓN, FLORIAL, FRUTOS TROPICALES Y MAR FRESCO. ", $8 ,NA,NA
15,,MULTIUSOS LIMA-LIMÓN , $3.55 ,,5,"ES UN AGENTE DE LIMPIEZA A BASE DE SURFACTANTES ESPECIALIZADOS PARA REMOVER TODO TIPO DE SUCIEDAD, DEJANDO UN FRESCO AROMA DURANTE Y DESPUÉS DE LA LIMPIEZA EN PISOS, PAREDES, VENTANAS, HOTELES, COCINAS, BAÑOS, HOSPITALES, ETC. DISPONIBLE EN AROMAS: LAVANDA, LIMA-LIMÓN, FLORIAL, FRUTOS TROPICALES Y MAR FRESCO. ", $8 ,NA,NA
16,,MULTIUSOS FLORAL , $3.55 ,,5,"ES UN AGENTE DE LIMPIEZA A BASE DE SURFACTANTES ESPECIALIZADOS PARA REMOVER TODO TIPO DE SUCIEDAD, DEJANDO UN FRESCO AROMA DURANTE Y DESPUÉS DE LA LIMPIEZA EN PISOS, PAREDES, VENTANAS, HOTELES, COCINAS, BAÑOS, HOSPITALES, ETC. DISPONIBLE EN AROMAS: LAVANDA, LIMA-LIMÓN, FLORIAL, FRUTOS TROPICALES Y MAR FRESCO. ", $8 ,NA,NA
17,,MULTIUSOS FRUTOS TROPICALES , $3.55 ,,5,"ES UN AGENTE DE LIMPIEZA A BASE DE SURFACTANTES ESPECIALIZADOS PARA REMOVER TODO TIPO DE SUCIEDAD, DEJANDO UN FRESCO AROMA DURANTE Y DESPUÉS DE LA LIMPIEZA EN PISOS, PAREDES, VENTANAS, HOTELES, COCINAS, BAÑOS, HOSPITALES, ETC. DISPONIBLE EN AROMAS: LAVANDA, LIMA-LIMÓN, FLORIAL, FRUTOS TROPICALES Y MAR FRESCO. ", $8 ,NA,NA
18,,MAYOR PINO , $4.10 ,,5,"EXCELENTES  REMOVEDOR DE SUCIEDAD INCLUSO GRASA, EL CUAL DEJA UN AGRADABLE Y DURADERO AROMA A PINO, AYUDANDO CON ESTE A REPELER INSECTOS. PUEDE SER UTILIZADO PARA LIMPIEZA EN PISOS, MUEBLES, PAREDES, VENTANAS DE CASA HABITACIÓN, HOTELES, COCINAS, RESTAURANTES, HOSPITALES, ESCUELAS, ETC. ", $9 ,NA,NA
19,,PINOGEL , $32.00 ,,5,"Pinogel combina las propiedades del aceite esencial de pino con una textura en gel, lo que lo hace más fácil de aplicar y utilizar en diversas superficies. Se utiliza para limpiar y desodorizar, dejando un aroma fresco y agradable a pino en el ambiente. La presentación en gel del aceite de pino facilita su aplicación y permite una distribución uniforme sobre las superficies. Se puede utilizar en pisos, azulejos, baños, cocinas, muebles, alfombras y otros objetos o áreas que requieran limpieza y desodorización.", $51 ,NA,NA
20,,PINO BLANCO , $4.10 ,,5,"PINO BLANCO, ES UN AGENTE DE LIMPIEZA A BASE DE UNA MEZCLA DE SURFACTANTES Y ACEITE ESENCIAL DE PINO, LO CUAL PERMITE QUE SEA UN EXCELENTE REMOVEDOR DE SUCIEDAD, POR SU EFECTIVIDAD PUEDE SER USADO COMO MULTILIMPIADOR, DESENGRASANTE DE PISOS Y COMO ADITIVO PARA AYUDA DEL DESMANCHADO EN ROPA, PINO ROPA DEJA UN AGRADABLE Y DURADERO AROMA A PINO, AYUDANDO CON ESTE A REPELER INSECTOS.", $9 ,NA,NA
21,,CLORO 6% , $2.55 ,,5,"ES UN DESINFECTANTE MUY EFICAZ A BASE DE HIPOCLORITO DE SODIO, EL CUAL TIENE EL PODER DE DESODORIZAR LA SUPERFICIE QUE SE DESINFECTA. SE PUEDE UTILIZAR PARA DESINFECTAR PISOS, PAREDES, VENTANAS, INSTRUMENTOS DE TRABAJO, ETC. EN EL HOGAR, INDUSTRIAS, HOSPITALES, COCINA, LAVANDERÍA, EN ESTA ÚLTIMA ES UTILIZADA PARA REMOVER MANCHAS QUE EL DETERGENTE COMÚN NO LO QUITA Y POR EL AROMA RESIDUAL ES CAPAZ DE REPELER INSECTOS ", $6 ,NA,NA
22,,LIMPIA VIDRIOS , $3.00 ,,5,"ES UN DETERGENTE LÍQUIDO DISEÑADO PARA QUITAR CUALQUIER TIPO DE SUCIEDAD O MANCHA DE UNA SUPERFICIE VIDRIOSA. TALES COMO VENTANALES, ESPEJOS, LOSETA DE COCINA, VIDRIOS DE AUTOMÓVILES,ETC. PROPORCIONA UNA BUENA DETERGENCIA, PERO ADEMÁS SU RETIRO Y LIMPIEZA ES MUY PRÁCTICO HACIENDO DE ESTE EL MEJOR AGENTE QUÍMICO PARA ESTA FINALIDAD.", $7 ,NA,NA
