id,,desc,,,id_id,desc2, p ,NA,a
125,,RECOGEDOR PLÁSTICO CON BASTÓN , $15.50 ,,16,N/A, $25 ,NA,NA
126,,JALADOR DE HULE , $36.00 ,,16,N/A, $58 ,NA,NA
127,,BOTELLA GARRAFA 5 LITROS , $12.65 ,,17,N/A, $16 ,NA,NA
128,,TAPA GARRAFA, $0.81 ,,17,, $2 ,NA,NA
129,,ASA, $1.36 ,,17,, $3 ,NA,NA
130,,BOTELLA POLIBOSTON NATURAL , $5.69 ,,17,N/A, $7 ,NA,NA
131,,BOTELLA POLIBOSTON 1 LITRO 30 GR, $3.96 ,,17,N/A, $6 ,NA,NA
132,,BOTELLA BOSTON 250 ML , $2.04 ,,17,N/A, $4 ,NA,NA
133,,TAPA CUELLO LARGO , $0.38 ,,17,N/A, $1 ,NA,NA
134,,BIDÓN, $11.00 ,,17,N/A, $22 ,NA,NA
